,LMA,MinPrice,MaxPrice,MARKET,STRATEGY,OUT
1152,260,4,2,1.575018738820436,1.0,-0.575018738820436
1168,260,6,16,1.575018738820436,1.0,-0.575018738820436
1167,260,6,14,1.575018738820436,1.0,-0.575018738820436
1187,260,10,18,1.575018738820436,1.0,-0.575018738820436
1153,260,4,4,1.575018738820436,1.0,-0.575018738820436
1154,260,4,6,1.575018738820436,1.0,-0.575018738820436
1155,260,4,8,1.575018738820436,1.0,-0.575018738820436
1156,260,4,10,1.575018738820436,1.0,-0.575018738820436
1157,260,4,12,1.575018738820436,1.0,-0.575018738820436
1158,260,4,14,1.575018738820436,1.0,-0.575018738820436
1159,260,4,16,1.575018738820436,1.0,-0.575018738820436
1160,260,4,18,1.575018738820436,1.0,-0.575018738820436
1161,260,6,2,1.575018738820436,1.0,-0.575018738820436
1162,260,6,4,1.575018738820436,1.0,-0.575018738820436
1163,260,6,6,1.575018738820436,1.0,-0.575018738820436
1164,260,6,8,1.575018738820436,1.0,-0.575018738820436
1165,260,6,10,1.575018738820436,1.0,-0.575018738820436
1166,260,6,12,1.575018738820436,1.0,-0.575018738820436
1186,260,10,16,1.575018738820436,1.0,-0.575018738820436
1188,260,12,2,1.575018738820436,1.0,-0.575018738820436
