<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201214,054000,19072.5,19099.7,19072.5,19087.3,0,0
BTC.V,5,20201214,054500,19086.9,19098,19081,19088.7,0,0
BTC.V,5,20201214,055000,19089.4,19089.5,19075.6,19075.6,0,0
BTC.V,5,20201214,055500,19076.2,19130.2,19074.9,19130.2,0,0
BTC.V,5,20201214,060000,19129.4,19129.4,19109.3,19111.4,0,0
BTC.V,5,20201214,060500,19109.5,19122,19106.8,19106.8,0,0
BTC.V,5,20201214,061000,19109.1,19109.1,19084.3,19090.9,0,0
BTC.V,5,20201214,061500,19089.8,19089.8,19044.6,19070.2,0,0
BTC.V,5,20201214,062000,19061.6,19077.5,19051.4,19076.9,0,0
BTC.V,5,20201214,062500,19076.9,19104.3,19076.3,19097,0,0
BTC.V,5,20201214,063000,19102.2,19102.2,19064.4,19066,0,0
BTC.V,5,20201214,063500,19063.5,19087.8,19063.5,19087.8,0,0
BTC.V,5,20201214,064000,19090.2,19095.2,19088.8,19089.6,0,0
BTC.V,5,20201214,064500,19085.6,19092,19079,19090.1,0,0
BTC.V,5,20201214,065000,19089.9,19090.4,19073.4,19088.8,0,0
BTC.V,5,20201214,065500,19088.2,19093.3,19088.2,19088.4,0,0
BTC.V,5,20201214,070000,19088.3,19123.2,19088.2,19121.3,0,0
BTC.V,5,20201214,070500,19122.6,19153.6,19114.2,19141.3,0,0
BTC.V,5,20201214,071000,19142.3,19142.3,19125.3,19125.3,0,0
BTC.V,5,20201214,071500,19125.1,19155.1,19125.1,19147.9,0,0
BTC.V,5,20201214,072000,19147.6,19161.6,19147.1,19152.2,0,0
BTC.V,5,20201214,072500,19151.8,19153,19143.8,19143.9,0,0
BTC.V,5,20201214,073000,19143.3,19147.9,19138.9,19142.8,0,0
BTC.V,5,20201214,073500,19143.4,19147,19132,19132.3,0,0
BTC.V,5,20201214,074000,19132.3,19133.2,19103.9,19107.8,0,0
BTC.V,5,20201214,074500,19110.6,19117.9,19110.2,19117.9,0,0
BTC.V,5,20201214,075000,19118.1,19133.8,19118.1,19133.8,0,0
BTC.V,5,20201214,075500,19133.8,19202.8,19130.4,19202.8,0,0
BTC.V,5,20201214,080000,19205.8,19206.9,19177.8,19177.8,0,0
BTC.V,5,20201214,080500,19177.2,19177.7,19158.7,19158.7,0,0
BTC.V,5,20201214,081000,19158.6,19158.6,19129.9,19132.2,0,0
BTC.V,5,20201214,081500,19132.2,19144.6,19110.8,19144.6,0,0
BTC.V,5,20201214,082000,19143.8,19169.3,19132.7,19160.5,0,0
BTC.V,5,20201214,082500,19158.1,19175.8,19157.3,19175.7,0,0
BTC.V,5,20201214,083000,19169.4,19177,19167.4,19167.4,0,0
BTC.V,5,20201214,083500,19164.7,19186.3,19160.4,19179.8,0,0
BTC.V,5,20201214,084000,19178.3,19191.5,19178.3,19191.5,0,0
BTC.V,5,20201214,084500,19192.5,19192.5,19177.4,19186.7,0,0
BTC.V,5,20201214,085000,19186.5,19186.5,19146.3,19146.3,0,0
BTC.V,5,20201214,085500,19137.8,19165.6,19137.8,19158.1,0,0
BTC.V,5,20201214,090000,19157.5,19164.9,19146.4,19164.9,0,0
BTC.V,5,20201214,090500,19165.1,19182.1,19164.4,19182.1,0,0
BTC.V,5,20201214,091000,19184.1,19224.2,19184.1,19215.2,0,0
BTC.V,5,20201214,091500,19215.9,19219.4,19207.2,19208.5,0,0
BTC.V,5,20201214,092000,19208.6,19210.8,19174.7,19188.4,0,0
BTC.V,5,20201214,092500,19189,19192.9,19175.8,19175.8,0,0
BTC.V,5,20201214,093000,19179.8,19201.2,19175.9,19201.2,0,0
BTC.V,5,20201214,093500,19199.3,19214.8,19194.9,19214.8,0,0
BTC.V,5,20201214,094000,19215.4,19217.3,19207.9,19209.7,0,0
BTC.V,5,20201214,094500,19209.9,19217.7,19189.4,19216.1,0,0
BTC.V,5,20201214,095000,19215.1,19234.1,19207.3,19230.9,0,0
BTC.V,5,20201214,095500,19235.5,19246.7,19231.4,19231.4,0,0
BTC.V,5,20201214,100000,19232,19259.6,19232,19252.8,0,0
BTC.V,5,20201214,100500,19252.1,19253.7,19225.7,19229,0,0
BTC.V,5,20201214,101000,19227.2,19227.2,19193.7,19195.2,0,0
BTC.V,5,20201214,101500,19192.8,19193.2,19139,19157.6,0,0
BTC.V,5,20201214,102000,19156.9,19165.4,19152.3,19164.9,0,0
BTC.V,5,20201214,102500,19163.5,19174.4,19162.3,19162.3,0,0
BTC.V,5,20201214,103000,19157.9,19157.9,19131.2,19149.3,0,0
BTC.V,5,20201214,103500,19148.7,19168.1,19148.7,19167.1,0,0
BTC.V,5,20201214,104000,19167.7,19186.4,19167.7,19185.9,0,0
BTC.V,5,20201214,104500,19186.3,19187.5,19184.9,19185.4,0,0
BTC.V,5,20201214,105000,19177.4,19179.6,19175.2,19175.2,0,0
BTC.V,5,20201214,105500,19175.1,19180.6,19174.8,19180.6,0,0
BTC.V,5,20201214,110000,19181.5,19182.6,19179.5,19180.2,0,0
BTC.V,5,20201214,110500,19180.4,19209.4,19180.4,19208.1,0,0
BTC.V,5,20201214,111000,19205.7,19209.3,19198.2,19198.8,0,0
BTC.V,5,20201214,111500,19187.9,19187.9,19145.5,19151.3,0,0
BTC.V,5,20201214,112000,19150.9,19174.9,19150.1,19167.9,0,0
BTC.V,5,20201214,112500,19162.2,19190.4,19162.2,19171.5,0,0
BTC.V,5,20201214,113000,19163,19183.5,19162,19169.6,0,0
BTC.V,5,20201214,113500,19168.9,19170.1,19149,19152.9,0,0
BTC.V,5,20201214,114000,19150.1,19150.1,19120,19120,0,0
BTC.V,5,20201214,114500,19120.8,19133.6,19098.7,19098.7,0,0
BTC.V,5,20201214,115000,19094.8,19097.8,19070.5,19089.1,0,0
BTC.V,5,20201214,115500,19095.8,19115.2,19095.8,19098.5,0,0
BTC.V,5,20201214,120000,19093.4,19112.7,19091.1,19107.9,0,0
BTC.V,5,20201214,120500,19108.2,19108.2,19064.1,19064.1,0,0
BTC.V,5,20201214,121000,19060.8,19079.1,19054.4,19071.4,0,0
BTC.V,5,20201214,121500,19070.1,19109.7,19070.1,19102.2,0,0
BTC.V,5,20201214,122000,19102.1,19112.3,19099.6,19109.8,0,0
BTC.V,5,20201214,122500,19113.3,19114.9,19107,19111.4,0,0
BTC.V,5,20201214,123000,19106.4,19116.4,19106,19106.9,0,0
BTC.V,5,20201214,123500,19105,19109.1,19105,19107.8,0,0
BTC.V,5,20201214,124000,19110.6,19111.5,19064,19065.9,0,0
BTC.V,5,20201214,124500,19069.1,19132.1,19063.3,19130.9,0,0
BTC.V,5,20201214,125000,19133,19138,19109.8,19109.8,0,0
BTC.V,5,20201214,125500,19110.2,19110.2,19099.7,19101.5,0,0
BTC.V,5,20201214,130000,19101.4,19128.3,19101.4,19128.1,0,0
BTC.V,5,20201214,130500,19128.1,19134.9,19106.9,19106.9,0,0
BTC.V,5,20201214,131000,19110,19110,19071.5,19085.2,0,0
BTC.V,5,20201214,131500,19082.3,19083.3,19067,19067,0,0
BTC.V,5,20201214,132000,19053.8,19070.1,19044.7,19061.6,0,0
BTC.V,5,20201214,132500,19062.3,19119.4,19062.3,19105.4,0,0
BTC.V,5,20201214,133000,19105.6,19111.9,19081.4,19097.4,0,0
BTC.V,5,20201214,133500,19093.9,19093.9,19065.2,19068.3,0,0
BTC.V,5,20201214,134000,19068.2,19088.8,19067.8,19081.9,0,0
BTC.V,5,20201214,134500,19084.8,19093.9,19077.4,19078.4,0,0
BTC.V,5,20201214,135000,19078.5,19082.7,19054.7,19068.6,0,0
BTC.V,5,20201214,135500,19068.3,19108.6,19066.1,19108.6,0,0
BTC.V,5,20201214,140000,19108.8,19121.7,19105.1,19117.1,0,0
BTC.V,5,20201214,140500,19115.6,19115.6,19094.3,19095.9,0,0
BTC.V,5,20201214,141000,19094.8,19106.5,19094.8,19098.6,0,0
BTC.V,5,20201214,141500,19096.8,19100,19077.8,19080.3,0,0
BTC.V,5,20201214,142000,19078.3,19089.2,19067,19087.3,0,0
BTC.V,5,20201214,142500,19085.2,19106.7,19083.3,19103.6,0,0
BTC.V,5,20201214,143000,19104.8,19106.3,19098.8,19101.5,0,0
BTC.V,5,20201214,143500,19102.1,19172.6,19102.1,19167.4,0,0
BTC.V,5,20201214,144000,19163.3,19190.2,19161.7,19190.2,0,0
BTC.V,5,20201214,144500,19190.1,19191.7,19173.1,19175,0,0
BTC.V,5,20201214,145000,19174.3,19190.4,19167.6,19190.4,0,0
BTC.V,5,20201214,145500,19190.4,19191.5,19173.1,19178.8,0,0
BTC.V,5,20201214,150000,19178.9,19183.3,19158.6,19171.3,0,0
BTC.V,5,20201214,150500,19168.5,19172.4,19131.4,19135.9,0,0
BTC.V,5,20201214,151000,19134.7,19155.9,19131.1,19134.4,0,0
BTC.V,5,20201214,151500,19139.3,19150,19131.9,19140.3,0,0
BTC.V,5,20201214,152000,19137.2,19137.2,19103,19103,0,0
BTC.V,5,20201214,152500,19107.6,19107.6,19096.3,19103.7,0,0
BTC.V,5,20201214,153000,19103.3,19123.7,19096.3,19118.4,0,0
BTC.V,5,20201214,153500,19115.3,19145,19104.5,19135.2,0,0
BTC.V,5,20201214,154000,19134.7,19138.6,19126.4,19133.6,0,0
BTC.V,5,20201214,154500,19133.2,19160.1,19131.5,19160.1,0,0
BTC.V,5,20201214,155000,19160.5,19205.6,19159.1,19201.6,0,0
BTC.V,5,20201214,155500,19213.3,19218.6,19196.1,19204.7,0,0
